S,a,z,t_rel,H,C,T,N,Phi_ten
0.01,0.26421543274504333,2.7847902736436954,-1.0632651723304285,131.43000000000004,1.9500000000000002,1.283395362171695,1.6129545323217596,0.4780676104765622
0.02,0.2690259507488485,2.717113524611455,-1.0478991231211632,121.61010737088772,1.8043042636630224,1.123874490272326,1.3672388992068,0.31279330414563067
0.03,0.27372739215351805,2.6532697445170457,-1.035317686235616,116.76946099963598,1.732484584564332,1.0232844496993054,1.2295151059164664,0.20661986882593594
0.04,0.2784455762982857,2.591366087744008,-1.0233281719853073,115.1861352757225,1.7089931049810458,1.001765940565037,1.196837880467975,0.17968297919771928
0.05,0.283226419537012,2.530744065594912,-1.01144234154478,114.74192017229728,1.7024023764435798,1.0000515421077787,1.1885217851347862,0.17271033759104257
0.060000000000000005,0.2880842585840695,2.4712066702810747,-0.9996182136706788,114.62283324806586,1.7006355081315407,1.0000005645204608,1.1824121199142734,0.16755652142505953
0.06999999999999999,0.293024047382172,2.412689193715783,-0.9878525076859715,114.59130129939673,1.7001676750652333,1.0000000022936728,1.1765705957720611,0.1626039322911871
0.08,0.2980481708894163,2.3551623451197967,-0.9761432082392459,114.58297972602965,1.7000442095850095,1.0000000000034401,1.1709299446685295,0.15779825760696217
0.09,0.30315833817868004,2.298606286100582,-0.9644883896502471,114.58078549839927,1.7000116542789208,1.000000000000002,1.1654818588998883,0.15313461429307668
0.09999999999999999,0.30835609507530615,2.24300383864889,-0.9528861993941886,114.58020705868411,1.7000030720873012,1.0,1.1602190256058498,0.14860880247238797
0.11,0.3136429622561964,2.1883387173953515,-0.9413348548424395,114.5800545803235,1.7000008097970845,1.0,1.1551344551749079,0.1442167486053214
0.12,0.31902047262010474,2.134595067793087,-0.9298326402217505,114.58001438723424,1.7000002134604486,1.0,1.1502214620688986,0.1399544995469222
0.13,0.32449018163410986,2.08175734305448,-0.918377903728693,114.58000379243497,1.700000056267581,1.0,1.1454736493057547,0.13581821898532737
0.14,0.3300536704385561,2.0298102689518895,-0.9069690547900561,114.5800009996751,1.7000000148319745,1.0,1.1408848938636862,0.13180418398882413
0.15000000000000002,0.3357125470159792,1.9787388314455883,-0.8956045614606414,114.58000026351151,1.700000003909666,1.0,1.136449332941468,0.12790878165496017
0.16,0.3414684468467148,1.92852827028232,-0.8842829479504609,114.58000006946088,1.7000000010305767,1.0,1.1321613510180428,0.12412850585868747
0.17,0.34732303343274457,1.8791640741950375,-0.8730027922738727,114.5800000183097,1.700000000271657,1.0,1.128015567658826,0.12045995409661309
0.18000000000000002,0.3532779987921823,1.8306319765705403,-0.8617627240136735,114.58000000482639,1.700000000071608,1.0,1.1240068260199183,0.11689982442451648
0.19,0.3593350639519581,1.7829179512904334,-0.8505614221936237,114.58000000127223,1.7000000000188755,1.0,1.1201301820049756,0.11344491248537683
0.2,0.3654959794461936,1.7360082086681743,-0.8393976132532965,114.58000000033536,1.7000000000049755,1.0,1.116380894032718,0.11009210862523533
0.21000000000000002,0.371762525822383,1.6898891914613525,-0.8282700691195358,114.5800000000884,1.7000000000013116,1.0,1.1127544133760703,0.10683839509429682
0.22,0.3781365141560547,1.644547570952923,-0.8171776053691691,114.5800000000233,1.7000000000003457,1.0,1.1092463750366777,0.10368084333075119
0.23,0.3846197865742036,1.5999702430989542,-0.8061190794779581,114.58000000000612,1.7000000000000908,1.0,1.1058525891210953,0.10061661132487013
0.24000000000000002,0.3912142167876837,1.5561443247414268,-0.7950933891510851,114.58000000000158,1.7000000000000233,1.0,1.1025690326873017,0.09764294106100646
0.25,0.39792171063272513,1.5130571498848995,-0.7840994707307615,114.58000000000025,1.7000000000000037,1.0,1.0993918420323614,0.09475715603519397
0.26,0.4047442066217344,1.4706962660359446,-0.7731362976768208,114.57999999999953,1.6999999999999929,1.0,1.0963173053940685,0.09195665884611304
0.27,0.4116836765035377,1.4290494306042922,-0.7622028791164082,114.57999999999778,1.6999999999999669,1.0,1.093341856041265,0.08923892885725432
0.28,0.4187421258332305,1.3881046073646361,-0.7512982584591157,114.5799999999914,1.6999999999998723,1.0,1.090462065729248,0.08660151992817552
0.29000000000000004,0.4259215945517957,1.347849962978084,-0.7404215120741331,114.57999999996738,1.699999999999516,1.0,1.0876746384982636,0.08404205821281005
0.3,0.43322415757565874,1.3082738635722522,-0.7295717480261874,114.57999999987625,1.6999999999981639,1.0,1.0849764047945714,0.08155824002284524
0.31,0.44065192539634357,1.2693648713790409,-0.7187481048672382,114.57999999953051,1.6999999999930342,1.0,1.0823643158949243,0.07914782975424735
0.32,0.44820704469038336,1.2311117414292077,-0.7079497504810724,114.5799999982189,1.699999999973574,1.0,1.0798354386165725,0.07680865787506706
0.33,0.4558916989395866,1.19350341830312,-0.6971758809781117,114.57999999324306,1.6999999998997486,1.0,1.0773869502960804,0.07453861897271427
0.34,0.4637081090615438,1.1565290329380007,-0.6864257196378982,114.57999997436644,1.69999999961968,1.0,1.075016134021339,0.07233566985894466
0.35000000000000003,0.47165853404942676,1.1201778994954146,-0.6756985158968767,114.57999990275476,1.6999999985571923,1.0,1.0727203741021574,0.07019782773085229
0.36000000000000004,0.47974527161689573,1.0844395123055173,-0.664993544379219,114.57999963108392,1.6999999945264674,1.0,1.070497151765774,0.0681231683862132
0.37,0.4879706588314516,1.0493035429521735,-0.6543101039685741,114.57999860045489,1.6999999792352356,1.0,1.0683440410644922,0.06610982449157354
0.38,0.4963370726713893,1.0147598377404936,-0.6436475169187396,114.57999469059105,1.6999999212253865,1.0,1.066258704983458,0.06415598390152331
0.39,0.5048469302555988,0.9807984164501313,-0.6330051280013659,114.57997985787209,1.699999701155372,1.0,1.0642388917373635,0.0622598880276433
0.4,0.5135026877780776,0.9474094757458675,-0.6223823036889103,114.5799235875471,1.6999988662840815,1.0,1.0622824312455559,0.060419830255656684
0.41000000000000003,0.522306834410899,0.9145834098224717,-0.6117784313711535,114.57971011784228,1.6999956990777785,1.0,1.0603872317756873,0.05863415440936104
0.42000000000000004,0.5312618667589073,0.8823108951913754,-0.6011929186036868,114.57890030224105,1.699983684009511,1.0000000000000013,1.0585512767466618,0.056901253259959254
0.43,0.5403701882499095,0.850583214515753,-0.5906251923868167,114.57582838355852,1.6999381065809867,1.0000000000022897,1.056772621684605,0.05521956708172847
0.44,0.5496337190627151,0.8193934711743851,-0.5800746984416119,114.5641781808446,1.6997652549086735,1.000000001522998,1.0550493929136355,0.05358758375972153
0.45,0.5590523923619609,0.788741115613625,-0.5695408928226806,114.52003345270784,1.6991102886158431,1.0000003726653173,1.053380169334866,0.05200420250060896
0.46,0.5686184010077628,0.7586486793738987,-0.559022566820834,114.35331175878382,1.6966366729789883,1.0000335462627903,1.0517973163154861,0.05050043065386578
